Type of Fertilizer,Quantity Per Acre (in Kgs) Per Year,Quantity Per Palm (in grams) Per Year
Complex Fertilizer 20:20:0,144,2000
Ammonium Sulphate Nitrate,88,1538
MOP,76,1333
Magnesium Sulphate,14,250
Borax,3,50
