Type of Fertilizer,Quantity Per Acre (in Kgs) Per Year,Quantity Per Palm (in grams) Per Year
Complex Fertilizer 10:26:26,88,1538
Urea,80,1405
MOP,38,667
Magnesium Sulphate,14,250
Borax,3,50
