Type of Fertilizer,Quantity Per Acre (in Kgs) Per Year,Quantity Per Palm (in grams) Per Year
Complex Fertilizer 10:20:20,114,2000
Ammonium Sulphate,109,1905
MOP,76,1333
Magnesium Sulphate,14,250
Borax,3,50
