Type of Fertilizer,Quantity Per Acre (in Kgs) Per Year,Quantity Per Palm (in grams) Per Year
Complex Fertilizer 17:17:17,134,2353
Urea,50,870
MOP,38,667
Magnesium Sulphate,14,250
Borax,3,50
