Type of Fertilizer,Quantity Per Acre (in Kgs) Per Year,Quantity Per Palm (in grams) Per Year
Complex Fertilizer 14:35:14,81,1429
Ammonium Sulphate,109,1905
MOP,76,1333
Magnesium Sulphate,14,250
Borax,3,50
