Type of Fertilizer,Quantity Per Acre (in Kgs) Per Year,Quantity Per Palm (in grams) Per Year
Complex Fertilizer 28:28:0,65,1143
Urea,79,1391
MOP,61,1067
Magnesium Sulphate,14,250
Borax,3,50
