Type of Fertilizer,Quantity Per Acre (in Kgs) Per Year,Quantity Per Palm (in grams) Per Year
Complex Fertilizer 20:20:0,88,1538
Ammonium Sulphate,175,3077
MOP,38,667
Magnesium Sulphate,14,250
Borax,3,50
