Type of Fertilizer,Quantity Per Acre (in Kgs) Per Year,Quantity Per Palm (in grams) Per Year
Complex Fertilizer 10:26:26,65,1143
Ammonium Sulphate,174,3048
MOP,61,1067
Magnesium Sulphate,14,250
Borax,3,50
