Type of Fertilizer,Quantity Per Acre (in Kgs) Per Year,Quantity Per Palm (in grams) Per Year
DAP,50,870
Ammonium Sulphate Nitrate,141,2475
MOP,76,1333
Magnesium Sulphate,14,250
Borax,3,50
