Property,January,February,March,April,May,June,July,August,September,October,November,December,
ET,3.93,4.47,5.05,5.33,5.07,4.2,3.65,3.62,3.87,3.87,3.79,3.65,
Water requirement (mm/day),1.965,2.235,2.525,2.665,2.535,2.1,1.825,1.81,1.935,1.935,1.895,1.825,
Water requirement litres/day/ha ,19650,22350,25250,26650,25350,21000,18250,18100,19350,19350,18950,18250,
Water requirement litres/palm/day in an ha,137.4125874,156.2937063,176.5734266,186.3636364,177.2727273,146.8531469,127.6223776,126.5734266,135.3146853,135.3146853,132.5174825,127.6223776,
Water requirement litres/palm/day in an ha at 70% field capacity,96.18881119,109.4055944,123.6013986,130.4545455,124.0909091,102.7972028,89.33566434,88.6013986,94.72027972,94.72027972,92.76223776,89.33566434,
