Property,January,February,March,April,May,June,July,August,September,October,November,December,
ET,3.83,4.52,5.28,5.56,5.16,4.17,3.79,3.86,4.13,3.9,3.59,3.48,
Water requirement (mm/day),1.915,2.26,2.64,2.78,2.58,2.085,1.895,1.93,2.065,1.95,1.795,1.74,
Water requirement litres/day/ha ,19150,22600,26400,27800,25800,20850,18950,19300,20650,19500,17950,17400,
Water requirement litres/palm/day in an ha,133.9160839,158.041958,184.6153846,194.4055944,180.4195804,145.8041958,132.5174825,134.965035,144.4055944,136.3636364,125.5244755,121.6783217,
Water requirement litres/palm/day in an ha at 70% field capacity,93.74125874,110.6293706,129.2307692,136.0839161,126.2937063,102.0629371,92.76223776,94.47552448,101.0839161,95.45454545,87.86713287,85.17482517,
