Property,January,February,March,April,May,June,July,August,September,October,November,December
ET,3.49,4.23,5.27,5.9,6.2,5.34,4.28,4.07,4.09,3.9,3.5,3.24
Water requirement (mm/day),1.745,2.115,2.635,2.95,3.1,2.67,2.14,2.035,2.045,1.95,1.75,1.62
Water requirement litres/day/ha ,17450,21150,26350,29500,31000,26700,21400,20350,20450,19500,17500,16200
Water requirement litres/palm/day in an ha,122.028,147.9021,184.2657,206.2937,216.7832,186.7133,149.6503,142.3077,143.007,136.3636,122.3776,113.2867
Water requirement litres/palm/day in an ha at 70% field capacity,85.41958,103.5315,128.986,144.4056,151.7483,130.6993,104.7552,99.61538,100.1049,95.45455,85.66434,79.3007
