Property,January,February,March,April,May,June,July,August,September,October,November,December
ET,3.71,4.59,5.8,6.68,7.05,6.02,4.84,4.49,4.48,4.33,3.77,3.46
Water requirement (mm/day),1.855,2.295,2.9,3.34,3.525,3.01,2.42,2.245,2.24,2.165,1.885,1.73
Water requirement litres/day/ha ,18550,22950,29000,33400,35250,30100,24200,22450,22400,21650,18850,17300
Water requirement litres/palm/day in an ha,129.7202797,160.4895105,202.7972028,233.5664336,246.5034965,210.4895105,169.2307692,156.993007,156.6433566,151.3986014,131.8181818,120.979021
Water requirement litres/palm/day in an ha at 70% field capacity,90.8041958,112.3426573,141.958042,163.4965035,172.5524476,147.3426573,118.4615385,109.8951049,109.6503497,105.979021,92.27272727,84.68531469
