Property,January,February,March,April,May,June,July,August,September,October,November,December
ET,3.63,4.51,5.89,6.94,7.31,6.31,4.98,4.48,4.75,5.04,4.12,3.51
Water requirement (mm/day),1.815,2.255,2.945,3.47,3.655,3.155,2.49,2.24,2.375,2.52,2.06,1.755
Water requirement litres/day/ha ,18150,22550,29450,34700,36550,31550,24900,22400,23750,25200,20600,17550
Water requirement litres/palm/day in an ha,126.9230769,157.6923077,205.9440559,242.6573427,255.5944056,220.6293706,174.1258741,156.6433566,166.0839161,176.2237762,144.0559441,122.7272727
Water requirement litres/palm/day in an ha at 70% field capacity,88.84615385,110.3846154,144.1608392,169.8601399,178.9160839,154.4405594,121.8881119,109.6503497,116.2587413,123.3566434,100.8391608,85.90909091
