Property,January,February,March,April,May,June,July,August,September,October,November,December
ET,3.71,4.35,4.98,5.19,5.15,4.75,4.63,4.61,4.54,4.06,3.55,3.32
Water requirement (mm/day),1.855,2.175,2.49,2.595,2.575,2.375,2.315,2.305,2.27,2.03,1.775,1.66
Water requirement litres/day/ha ,18550,21750,24900,25950,25750,23750,23150,23050,22700,20300,17750,16600
Water requirement litres/palm/day in an ha,129.7202797,152.0979021,174.1258741,181.4685315,180.0699301,166.0839161,161.8881119,161.1888112,158.7412587,141.958042,124.1258741,116.0839161
Water requirement litres/palm/day in an ha at 70% field capacity,90.8041958,106.4685315,121.8881119,127.027972,126.048951,116.2587413,113.3216783,112.8321678,111.1188811,99.37062937,86.88811189,81.25874126
