Property,January,February,March,April,May,June,July,August,September,October,November,December
ET,3.76,4.22,4.6,4.64,4.38,3.96,3.92,3.97,4.01,3.8,3.49,3.44
Water requirement (mm/day),1.88,2.11,2.3,2.32,2.19,1.98,1.96,1.985,2.005,1.9,1.745,1.72
Water requirement litres/day/ha ,18800,21100,23000,23200,21900,19800,19600,19850,20050,19000,17450,17200
Water requirement litres/palm/day in an ha,131.4685315,147.5524476,160.8391608,162.2377622,153.1468531,138.4615385,137.0629371,138.8111888,140.2097902,132.8671329,122.027972,120.2797203
Water requirement litres/palm/day in an ha at 70% field capacity,92.02797203,103.2867133,112.5874126,113.5664336,107.2027972,96.92307692,95.94405594,97.16783217,98.14685315,93.00699301,85.41958042,84.1958042
