Property,January,February,March,April,May,June,July,August,September,October,November,December,
ET,3.86,4.4,4.95,5.12,4.8,3.98,3.63,3.67,3.92,3.85,3.64,3.57,
Water requirement (mm/day),1.93,2.2,2.475,2.56,2.4,1.99,1.815,1.835,1.96,1.925,1.82,1.785,
Water requirement litres/day/ha ,19300,22000,24750,25600,24000,19900,18150,18350,19600,19250,18200,17850,
Water requirement litres/palm/day in an ha,134.965035,153.8461538,173.0769231,179.020979,167.8321678,139.1608392,126.9230769,128.3216783,137.0629371,134.6153846,127.2727273,124.8251748,
Water requirement litres/palm/day in an ha at 70% field capacity,94.47552448,107.6923077,121.1538462,125.3146853,117.4825175,97.41258741,88.84615385,89.82517483,95.94405594,94.23076923,89.09090909,87.37762238,
