Property,January,February,March,April,May,June,July,August,September,October,November,December
ET,3.66,4.52,5.78,6.63,7.05,5.87,4.5,4.16,4.26,4.19,3.73,3.41
Water requirement (mm/day),1.83,2.26,2.89,3.315,3.525,2.935,2.25,2.08,2.13,2.095,1.865,1.705
Water requirement litres/day/ha ,18300,22600,28900,33150,35250,29350,22500,20800,21300,20950,18650,17050
Water requirement litres/palm/day in an ha,127.972028,158.041958,202.0979021,231.8181818,246.5034965,205.2447552,157.3426573,145.4545455,148.951049,146.5034965,130.4195804,119.2307692
Water requirement litres/palm/day in an ha at 70% field capacity,89.58041958,110.6293706,141.4685315,162.2727273,172.5524476,143.6713287,110.1398601,101.8181818,104.2657343,102.5524476,91.29370629,83.46153846
