Property,January,February,March,April,May,June,July,August,September,October,November,December
ET,2.21,2.69,3.6,4.12,4.24,3.97,3.86,3.69,3.44,3.03,2.5,2.11
Water requirement (mm/day),1.105,1.345,1.8,2.06,2.12,1.985,1.93,1.845,1.72,1.515,1.25,1.055
Water requirement litres/day/ha ,11050,13450,18000,20600,21200,19850,19300,18450,17200,15150,12500,10550
Water requirement litres/palm/day in an ha,77.27272727,94.05594406,125.8741259,144.0559441,148.2517483,138.8111888,134.965035,129.020979,120.2797203,105.9440559,87.41258741,73.77622378
Water requirement litres/palm/day in an ha at 70% field capacity,54.09090909,65.83916084,88.11188811,100.8391608,103.7762238,97.16783217,94.47552448,90.31468531,84.1958042,74.16083916,61.18881119,51.64335664
