Property,January,February,March,April,May,June,July,August,September,October,November,December
ET,3.04,3.79,4.93,5.34,5.14,4.5,4.29,4.23,3.92,3.69,3.25,2.88
Water requirement (mm/day),1.52,1.895,2.465,2.67,2.57,2.25,2.145,2.115,1.96,1.845,1.625,1.44
Water requirement litres/day/ha ,15200,18950,24650,26700,25700,22500,21450,21150,19600,18450,16250,14400
Water requirement litres/palm/day in an ha,106.2937063,132.5174825,172.3776224,186.7132867,179.7202797,157.3426573,150,147.9020979,137.0629371,129.020979,113.6363636,100.6993007
Water requirement litres/palm/day in an ha at 70% field capacity,74.40559441,92.76223776,120.6643357,130.6993007,125.8041958,110.1398601,105,103.5314685,95.94405594,90.31468531,79.54545455,70.48951049
