Property,January,February,March,April,May,June,July,August,September,October,November,December
ET,2.44,3.02,3.93,4.38,4.37,3.85,3.69,3.57,3.42,3.07,2.6,2.27
Water requirement (mm/day),1.22,1.51,1.965,2.19,2.185,1.925,1.845,1.785,1.71,1.535,1.3,1.135
Water requirement litres/day/ha ,12200,15100,19650,21900,21850,19250,18450,17850,17100,15350,13000,11350
Water requirement litres/palm/day in an ha,85.31468531,105.5944056,137.4125874,153.1468531,152.7972028,134.6153846,129.020979,124.8251748,119.5804196,107.3426573,90.90909091,79.37062937
Water requirement litres/palm/day in an ha at 70% field capacity,59.72027972,73.91608392,96.18881119,107.2027972,106.958042,94.23076923,90.31468531,87.37762238,83.70629371,75.13986014,63.63636364,55.55944056
