Property,January,February,March,April,May,June,July,August,September,October,November,December
ET,2.47,3.02,4.07,4.51,4.62,4.33,4.21,4.02,3.73,3.29,2.76,2.32
Water requirement (mm/day),1.235,1.51,2.035,2.255,2.31,2.165,2.105,2.01,1.865,1.645,1.38,1.16
Water requirement litres/day/ha ,12350,15100,20350,22550,23100,21650,21050,20100,18650,16450,13800,11600
Water requirement litres/palm/day in an ha,86.36363636,105.5944056,142.3076923,157.6923077,161.5384615,151.3986014,147.2027972,140.5594406,130.4195804,115.034965,96.5034965,81.11888112
Water requirement litres/palm/day in an ha at 70% field capacity,60.45454545,73.91608392,99.61538462,110.3846154,113.0769231,105.979021,103.041958,98.39160839,91.29370629,80.52447552,67.55244755,56.78321678
