Property,January,February,March,April,May,June,July,August,September,October,November,December
ET,3.25,4.1,5.56,6.85,7.49,6.33,4.58,4.09,4.17,4.2,3.59,3.09
Water requirement (mm/day),1.625,2.05,2.78,3.425,3.745,3.165,2.29,2.045,2.085,2.1,1.795,1.545
Water requirement litres/day/ha ,16250,20500,27800,34250,37450,31650,22900,20450,20850,21000,17950,15450
Water requirement litres/palm/day in an ha,113.6363636,143.3566434,194.4055944,239.5104895,261.8881119,221.3286713,160.1398601,143.006993,145.8041958,146.8531469,125.5244755,108.041958
Water requirement litres/palm/day in an ha at 70% field capacity,79.54545455,100.3496503,136.0839161,167.6573427,183.3216783,154.9300699,112.0979021,100.1048951,102.0629371,102.7972028,87.86713287,75.62937063
