Property,January,February,March,April,May,June,July,August,September,October,November,December
ET,3.71,4.41,5.16,5.46,5.76,5.48,5.28,5.16,4.91,4.19,3.57,3.32
Water requirement (mm/day),1.855,2.205,2.58,2.73,2.88,2.74,2.64,2.58,2.455,2.095,1.785,1.66
Water requirement litres/day/ha ,18550,22050,25800,27300,28800,27400,26400,25800,24550,20950,17850,16600
Water requirement litres/palm/day in an ha,129.7202797,154.1958042,180.4195804,190.9090909,201.3986014,191.6083916,184.6153846,180.4195804,171.6783217,146.5034965,124.8251748,116.0839161
Water requirement litres/palm/day in an ha at 70% field capacity,90.8041958,107.9370629,126.2937063,133.6363636,140.979021,134.1258741,129.2307692,126.2937063,120.1748252,102.5524476,87.37762238,81.25874126
