Property,January,February,March,April,May,June,July,August,September,October,November,December
ET,3.65,4.54,5.88,6.87,7.31,6.05,4.53,4.16,4.28,4.28,3.77,3.42
Water requirement (mm/day),1.825,2.27,2.94,3.435,3.655,3.025,2.265,2.08,2.14,2.14,1.885,1.71
Water requirement litres/day/ha ,18250,22700,29400,34350,36550,30250,22650,20800,21400,21400,18850,17100
Water requirement litres/palm/day in an ha,127.6223776,158.7412587,205.5944056,240.2097902,255.5944056,211.5384615,158.3916084,145.4545455,149.6503497,149.6503497,131.8181818,119.5804196
Water requirement litres/palm/day in an ha at 70% field capacity,89.33566434,111.1188811,143.9160839,168.1468531,178.9160839,148.0769231,110.8741259,101.8181818,104.7552448,104.7552448,92.27272727,83.70629371
