Property,January,February,March,April,May,June,July,August,September,October,November,December,
ET,3.94,4.48,5.03,5.24,5.02,4.18,3.62,3.56,3.81,3.9,3.87,3.71,
Water requirement (mm/day),1.97,2.24,2.515,2.62,2.51,2.09,1.81,1.78,1.905,1.95,1.935,1.855,
Water requirement litres/day/ha ,19700,22400,25150,26200,25100,20900,18100,17800,19050,19500,19350,18550,
Water requirement litres/palm/day in an ha,137.7622378,156.6433566,175.8741259,183.2167832,175.5244755,146.1538462,126.5734266,124.4755245,133.2167832,136.3636364,135.3146853,129.7202797,
Water requirement litres/palm/day in an ha at 70% field capacity,96.43356643,109.6503497,123.1118881,128.2517483,122.8671329,102.3076923,88.6013986,87.13286713,93.25174825,95.45454545,94.72027972,90.8041958,
