Property,January,February,March,April,May,June,July,August,September,October,November,December
ET,2.21,2.65,3.57,4.11,4.31,4.17,4.11,3.89,3.57,3.09,2.53,2.12
Water requirement (mm/day),1.105,1.325,1.785,2.055,2.155,2.085,2.055,1.945,1.785,1.545,1.265,1.06
Water requirement litres/day/ha ,11050,13250,17850,20550,21550,20850,20550,19450,17850,15450,12650,10600
Water requirement litres/palm/day in an ha,77.27272727,92.65734266,124.8251748,143.7062937,150.6993007,145.8041958,143.7062937,136.013986,124.8251748,108.041958,88.46153846,74.12587413
Water requirement litres/palm/day in an ha at 70% field capacity,54.09090909,64.86013986,87.37762238,100.5944056,105.4895105,102.0629371,100.5944056,95.20979021,87.37762238,75.62937063,61.92307692,51.88811189
