Property,January,February,March,April,May,June,July,August,September,October,November,December
ET,3.94,4.45,5,5.28,4.97,4.1,3.66,3.67,3.92,3.89,3.76,3.65
Water requirement (mm/day),1.97,2.225,2.5,2.64,2.485,2.05,1.83,1.835,1.96,1.945,1.88,1.825
Water requirement litres/day/ha ,19700,22250,25000,26400,24850,20500,18300,18350,19600,19450,18800,18250
Water requirement litres/palm/day in an ha,137.7622378,155.5944056,174.8251748,184.6153846,173.7762238,143.3566434,127.972028,128.3216783,137.0629371,136.013986,131.4685315,127.6223776
Water requirement litres/palm/day in an ha at 70% field capacity,96.43356643,108.9160839,122.3776224,129.2307692,121.6433566,100.3496503,89.58041958,89.82517483,95.94405594,95.20979021,92.02797203,89.33566434
