Property,January,February,March,April,May,June,July,August,September,October,November,December,
ET,4.01,4.8,5.76,6.26,6.13,4.88,4.16,4.11,4.3,4.13,3.8,3.63,
Water requirement (mm/day),2.005,2.4,2.88,3.13,3.065,2.44,2.08,2.055,2.15,2.065,1.9,1.815,
Water requirement litres/day/ha ,20050,24000,28800,31300,30650,24400,20800,20550,21500,20650,19000,18150,
Water requirement litres/palm/day in an ha,140.2097902,167.8321678,201.3986014,218.8811189,214.3356643,170.6293706,145.4545455,143.7062937,150.3496503,144.4055944,132.8671329,126.9230769,
Water requirement litres/palm/day in an ha at 70% field capacity,98.14685315,117.4825175,140.979021,153.2167832,150.034965,119.4405594,101.8181818,100.5944056,105.2447552,101.0839161,93.00699301,88.84615385,
