Type of Fertilizer,Quantity Per Acre (in Kgs) Per Year,Quantity Per Palm (in grams) Per Year
Complex Fertilizer 20:20:20,171,3000
Urea,89,1565
MOP,114,2000
Magnesium Sulphate,29,500
Borax,6,100
