Type of Fertilizer,Quantity Per Acre (in Kgs) Per Year,Quantity Per Palm (in grams) Per Year
Complex Fertilizer 10:26:26,132,2308
Urea,120,2107
MOP,57,1000
Magnesium Sulphate,29,500
Borax,6,100
