Type of Fertilizer,Quantity Per Acre (in Kgs) Per Year,Quantity Per Palm (in grams) Per Year
Complex Fertilizer 24:24:0,143,2500
Ammonium Sulphate Nitrate,132,2308
MOP,114,2000
Magnesium Sulphate,29,500
Borax,6,100
