Type of Fertilizer,Quantity Per Acre (in Kgs) Per Year,Quantity Per Palm (in grams) Per Year
DAP,74,1304
Urea,120,2098
MOP,114,2000
Magnesium Sulphate,29,500
Borax,6,100
