Type of Fertilizer,Quantity Per Acre (in Kgs) Per Year,Quantity Per Palm (in grams) Per Year
Complex Fertilizer 10:26:26,171,3000
Ammonium Sulphate Nitrate,158,2769
MOP,114,2000
Magnesium Sulphate,29,500
Borax,6,100
