Type of Fertilizer,Quantity Per Acre (in Kgs) Per Year,Quantity Per Palm (in grams) Per Year
Complex Fertilizer 17:17:17,201,3529
Urea,74,1304
MOP,57,1000
Magnesium Sulphate,29,500
Borax,6,100
