Type of Fertilizer,Quantity Per Acre (in Kgs) Per Year,Quantity Per Palm (in grams) Per Year
SSP,214,3750
Ammonium Sulphate,326,5714
MOP,114,2000
Magnesium Sulphate,29,500
Borax,6,100
