Type of Fertilizer,Quantity Per Acre (in Kgs) Per Year,Quantity Per Palm (in grams) Per Year
Complex Fertilizer 10:20:20,171,3000
Ammonium Sulphate,195,3429
MOP,114,2000
Magnesium Sulphate,29,500
Borax,6,100
