Type of Fertilizer,Quantity Per Acre (in Kgs) Per Year,Quantity Per Palm (in grams) Per Year
Complex Fertilizer 14:35:14,98,1714
Ammonium Sulphate Nitrate,210,3692
MOP,91,1600
Magnesium Sulphate,29,500
Borax,6,100
