Type of Fertilizer,Quantity Per Acre (in Kgs) Per Year,Quantity Per Palm (in grams) Per Year
Complex Fertilizer 17:17:17,201,3529
Ammonium Sulphate,163,2857
MOP,57,1000
Magnesium Sulphate,29,500
Borax,6,100
